Epc= 845, Train ADE,FDE = (0.588, 1.077) | time = 34.4
Epc= 850, Train ADE,FDE = (0.588, 1.080) | time = 34.8
Epc= 855, Train ADE,FDE = (0.557, 1.014) | time = 34.4
Epc= 860, Train ADE,FDE = (0.576, 1.061) | time = 34.8
Epc= 865, Train ADE,FDE = (0.565, 1.032) | time = 34.2
Epc= 870, Train ADE,FDE = (0.575, 1.080) | time = 34.7
Epc= 875, Train ADE,FDE = (0.568, 1.029) | time = 34.4
Epc= 880, Train ADE,FDE = (0.545, 1.001) | time = 34.6
Epc= 885, Train ADE,FDE = (0.551, 1.003) | time = 34.8
Epc= 890, Train ADE,FDE = (0.571, 1.043) | time = 34.5
Epc= 895, Train ADE,FDE = (0.554, 1.027) | time = 34.5
Epc= 900, Train ADE,FDE = (0.562, 1.041) | time = 34.7
Epc= 905, Train ADE,FDE = (0.577, 1.081) | time = 34.4
Epc= 910, Train ADE,FDE = (0.565, 1.048) | time = 34.8
Epc= 915, Train ADE,FDE = (0.561, 1.027) | time = 34.4
Epc= 920, Train ADE,FDE = (0.586, 1.094) | time = 34.6
Epc= 925, Train ADE,FDE = (0.572, 1.050) | time = 34.3
Epc= 930, Train ADE,FDE = (0.557, 1.025) | time = 34.5
Epc= 935, Train ADE,FDE = (0.597, 1.091) | time = 34.6
Epc= 940, Train ADE,FDE = (0.537, 1.008) | time = 34.4
Epc= 945, Train ADE,FDE = (0.570, 1.062) | time = 34.4
Epc= 950, Train ADE,FDE = (0.549, 1.025) | time = 34.4
Epc= 955, Train ADE,FDE = (0.545, 0.994) | time = 34.3
Epc= 960, Train ADE,FDE = (0.571, 1.060) | time = 34.5
Epc= 965, Train ADE,FDE = (0.544, 1.016) | time = 34.7
Epc= 970, Train ADE,FDE = (0.546, 1.030) | time = 34.5
Epc= 975, Train ADE,FDE = (0.567, 1.055) | time = 34.1
Epc= 980, Train ADE,FDE = (0.553, 1.049) | time = 34.2
Epc= 985, Train ADE,FDE = (0.570, 1.068) | time = 34.8
Epc= 990, Train ADE,FDE = (0.560, 1.051) | time = 34.5
Epc= 995, Train ADE,FDE = (0.530, 0.980) | time = 34.7
Epc=1000, Train ADE,FDE = (0.549, 1.040) | time = 34.4
Epc=1005, Train ADE,FDE = (0.534, 1.017) | time = 34.9
Epc=1010, Train ADE,FDE = (0.553, 1.045) | time = 34.8
Epc=1015, Train ADE,FDE = (0.535, 1.018) | time = 34.8
Epc=1020, Train ADE,FDE = (0.522, 0.991) | time = 34.2
Epc=1025, Train ADE,FDE = (0.532, 1.010) | time = 34.1
Epc=1030, Train ADE,FDE = (0.535, 0.996) | time = 34.5
Epc=1035, Train ADE,FDE = (0.548, 1.050) | time = 34.4
Epc=1040, Train ADE,FDE = (0.546, 1.040) | time = 34.4
Epc=1045, Train ADE,FDE = (0.543, 1.041) | time = 34.3
Epc=1050, Train ADE,FDE = (0.714, 1.358) | time = 34.5
Epc=1055, Train ADE,FDE = (0.516, 0.982) | time = 34.3
Epc=1060, Train ADE,FDE = (0.530, 1.026) | time = 34.7
Epc=1065, Train ADE,FDE = (0.549, 1.082) | time = 34.5
Epc=1070, Train ADE,FDE = (0.562, 1.095) | time = 34.4
Epc=1075, Train ADE,FDE = (0.538, 1.041) | time = 34.2
Epc=1080, Train ADE,FDE = (0.546, 1.045) | time = 34.8
Epc=1085, Train ADE,FDE = (0.526, 1.000) | time = 34.8
Epc=1090, Train ADE,FDE = (0.575, 1.091) | time = 34.3
Epc=1095, Train ADE,FDE = (0.531, 1.006) | time = 34.8
Epc=1100, Train ADE,FDE = (0.512, 0.978) | time = 34.5
Epc=1105, Train ADE,FDE = (0.517, 0.993) | time = 34.4
Epc=1110, Train ADE,FDE = (0.515, 0.971) | time = 34.8
Epc=1115, Train ADE,FDE = (0.532, 1.028) | time = 34.6
Epc=1120, Train ADE,FDE = (0.523, 1.020) | time = 34.6
Epc=1125, Train ADE,FDE = (0.504, 0.979) | time = 34.4
Epc=1130, Train ADE,FDE = (0.513, 0.980) | time = 34.3
Epc=1135, Train ADE,FDE = (0.504, 0.969) | time = 34.7
Epc=1140, Train ADE,FDE = (0.528, 1.020) | time = 34.9
Epc=1145, Train ADE,FDE = (0.529, 1.025) | time = 34.6
Epc=1150, Train ADE,FDE = (0.520, 0.994) | time = 34.7
Epc=1155, Train ADE,FDE = (0.519, 1.007) | time = 34.9
Epc=1160, Train ADE,FDE = (0.538, 1.027) | time = 34.6
Epc=1165, Train ADE,FDE = (0.545, 1.085) | time = 34.7
Epc=1170, Train ADE,FDE = (0.536, 1.068) | time = 34.3
Epc=1175, Train ADE,FDE = (0.525, 1.034) | time = 34.4
Epc=1180, Train ADE,FDE = (0.538, 1.067) | time = 34.5
Epc=1185, Train ADE,FDE = (0.562, 1.123) | time = 34.4
Epc=1190, Train ADE,FDE = (0.521, 1.025) | time = 34.4
Epc=1195, Train ADE,FDE = (0.517, 1.014) | time = 34.2
Epc=1200, Train ADE,FDE = (0.550, 1.087) | time = 34.9
Epc=1205, Train ADE,FDE = (0.509, 0.986) | time = 34.4
Epc=1210, Train ADE,FDE = (0.534, 1.048) | time = 34.8
Epc=1215, Train ADE,FDE = (0.511, 1.002) | time = 34.8
Epc=1220, Train ADE,FDE = (0.505, 0.994) | time = 34.9
Epc=1225, Train ADE,FDE = (0.503, 0.976) | time = 34.8
Epc=1230, Train ADE,FDE = (0.519, 1.032) | time = 34.2
Epc=1235, Train ADE,FDE = (0.524, 1.027) | time = 34.8
Epc=1240, Train ADE,FDE = (0.554, 1.090) | time = 34.5
Epc=1245, Train ADE,FDE = (0.503, 0.994) | time = 34.3
Epc=1250, Train ADE,FDE = (0.511, 1.015) | time = 34.8
Epc=1255, Train ADE,FDE = (0.521, 1.023) | time = 34.9
Epc=1260, Train ADE,FDE = (0.522, 1.039) | time = 34.6
Epc=1265, Train ADE,FDE = (0.535, 1.058) | time = 34.7
Epc=1270, Train ADE,FDE = (0.503, 0.971) | time = 34.4
Epc=1275, Train ADE,FDE = (0.558, 1.093) | time = 34.8
Epc=1280, Train ADE,FDE = (0.543, 1.059) | time = 34.3
Epc=1285, Train ADE,FDE = (0.539, 1.046) | time = 34.8
Epc=1290, Train ADE,FDE = (0.531, 1.050) | time = 34.1
Epc=1295, Train ADE,FDE = (0.516, 1.018) | time = 34.2
Epc=1300, Train ADE,FDE = (0.544, 1.064) | time = 34.7
Epc=1305, Train ADE,FDE = (0.510, 1.002) | time = 34.2
Epc=1310, Train ADE,FDE = (0.562, 1.111) | time = 34.5
Epc=1315, Train ADE,FDE = (0.544, 1.060) | time = 34.4
Epc=1320, Train ADE,FDE = (0.555, 1.097) | time = 34.8
Epc=1325, Train ADE,FDE = (0.528, 1.036) | time = 34.8
Epc=1330, Train ADE,FDE = (0.552, 1.085) | time = 34.8
Epc=1335, Train ADE,FDE = (0.529, 1.041) | time = 34.4
Epc=1340, Train ADE,FDE = (0.541, 1.071) | time = 34.8
Epc=1345, Train ADE,FDE = (0.561, 1.093) | time = 34.6
Epc=1350, Train ADE,FDE = (0.522, 1.015) | time = 34.4
Epc=1355, Train ADE,FDE = (0.536, 1.048) | time = 34.8
Epc=1360, Train ADE,FDE = (0.536, 1.038) | time = 34.4
Epc=1365, Train ADE,FDE = (0.531, 1.040) | time = 34.7
Epc=1370, Train ADE,FDE = (0.542, 1.057) | time = 34.2
Epc=1375, Train ADE,FDE = (0.530, 1.046) | time = 34.5
Epc=1380, Train ADE,FDE = (0.507, 0.988) | time = 34.6
Epc=1385, Train ADE,FDE = (0.495, 0.975) | time = 34.6
Epc=1390, Train ADE,FDE = (0.520, 1.017) | time = 34.9
Epc=1395, Train ADE,FDE = (0.536, 1.043) | time = 34.9
Epc=1400, Train ADE,FDE = (0.505, 1.000) | time = 34.6
Epc=1405, Train ADE,FDE = (0.561, 1.068) | time = 34.5
Epc=1410, Train ADE,FDE = (0.510, 0.994) | time = 34.2
Epc=1415, Train ADE,FDE = (0.516, 1.004) | time = 34.4
Epc=1420, Train ADE,FDE = (0.511, 1.000) | time = 34.3
Epc=1425, Train ADE,FDE = (0.510, 0.995) | time = 34.8
Epc=1430, Train ADE,FDE = (0.515, 1.000) | time = 34.7
Epc=1435, Train ADE,FDE = (0.533, 1.041) | time = 34.5
Epc=1440, Train ADE,FDE = (0.522, 1.019) | time = 34.7
Epc=1445, Train ADE,FDE = (0.503, 0.968) | time = 34.9
Epc=1450, Train ADE,FDE = (0.513, 0.989) | time = 34.3
Epc=1455, Train ADE,FDE = (0.525, 1.023) | time = 34.9
Epc=1460, Train ADE,FDE = (0.501, 0.962) | time = 34.4
Epc=1465, Train ADE,FDE = (0.510, 0.978) | time = 34.8
Epc=1470, Train ADE,FDE = (0.504, 0.986) | time = 34.4
Epc=1475, Train ADE,FDE = (0.505, 0.971) | time = 34.2
Epc=1480, Train ADE,FDE = (0.503, 0.972) | time = 34.3
Epc=1485, Train ADE,FDE = (0.510, 0.976) | time = 34.3
Epc=1490, Train ADE,FDE = (0.512, 0.988) | time = 34.6
Epc=1495, Train ADE,FDE = (0.565, 1.074) | time = 34.7
Epc=1500, Train ADE,FDE = (0.500, 0.962) | time = 34.2
Epc=1505, Train ADE,FDE = (0.500, 0.968) | time = 34.4
Epc=1510, Train ADE,FDE = (0.503, 0.957) | time = 34.9
Epc=1515, Train ADE,FDE = (0.507, 0.968) | time = 34.3
Epc=1520, Train ADE,FDE = (0.499, 0.947) | time = 34.6
Epc=1525, Train ADE,FDE = (0.508, 0.966) | time = 34.6
Epc=1530, Train ADE,FDE = (0.496, 0.952) | time = 34.3
Epc=1535, Train ADE,FDE = (0.490, 0.923) | time = 34.7
Epc=1540, Train ADE,FDE = (0.509, 0.975) | time = 34.5
Epc=1545, Train ADE,FDE = (0.514, 0.972) | time = 34.5
Epc=1550, Train ADE,FDE = (0.524, 1.015) | time = 34.7
Epc=1555, Train ADE,FDE = (0.533, 1.004) | time = 34.7
Epc=1560, Train ADE,FDE = (0.500, 0.951) | time = 34.6
Epc=1565, Train ADE,FDE = (0.494, 0.941) | time = 34.2
Epc=1570, Train ADE,FDE = (0.487, 0.928) | time = 34.3
Epc=1575, Train ADE,FDE = (0.522, 0.982) | time = 34.4
Epc=1580, Train ADE,FDE = (0.487, 0.919) | time = 34.5
Epc=1585, Train ADE,FDE = (0.517, 0.975) | time = 34.7
Epc=1590, Train ADE,FDE = (0.481, 0.899) | time = 34.5
Epc=1595, Train ADE,FDE = (0.518, 0.956) | time = 34.6
Epc=1600, Train ADE,FDE = (0.507, 0.952) | time = 34.6
Epc=1605, Train ADE,FDE = (0.491, 0.919) | time = 34.5
Epc=1610, Train ADE,FDE = (0.510, 0.958) | time = 34.6
Epc=1615, Train ADE,FDE = (0.499, 0.931) | time = 34.9
Epc=1620, Train ADE,FDE = (0.499, 0.937) | time = 34.4
Epc=1625, Train ADE,FDE = (0.488, 0.899) | time = 34.8
Epc=1630, Train ADE,FDE = (0.497, 0.923) | time = 34.2
Epc=1635, Train ADE,FDE = (0.512, 0.948) | time = 34.5
Epc=1640, Train ADE,FDE = (0.483, 0.893) | time = 34.7
Epc=1645, Train ADE,FDE = (0.498, 0.924) | time = 34.5
Epc=1650, Train ADE,FDE = (0.495, 0.932) | time = 34.7
Epc=1655, Train ADE,FDE = (0.505, 0.936) | time = 34.8
Epc=1660, Train ADE,FDE = (0.493, 0.905) | time = 34.1
Epc=1665, Train ADE,FDE = (0.478, 0.882) | time = 34.2
Epc=1670, Train ADE,FDE = (0.501, 0.933) | time = 34.5
Epc=1675, Train ADE,FDE = (0.476, 0.877) | time = 34.8
Epc=1680, Train ADE,FDE = (0.499, 0.926) | time = 34.4
Epc=1685, Train ADE,FDE = (0.472, 0.871) | time = 34.5
Epc=1690, Train ADE,FDE = (0.469, 0.867) | time = 34.1
Epc=1695, Train ADE,FDE = (0.511, 0.949) | time = 34.4
Epc=1700, Train ADE,FDE = (0.489, 0.900) | time = 34.8
Epc=1705, Train ADE,FDE = (0.508, 0.932) | time = 34.7
