Epc= 695, Train ADE,FDE = (0.612, 1.152) | time = 34.7
Epc= 700, Train ADE,FDE = (0.559, 1.057) | time = 34.6
Epc= 705, Train ADE,FDE = (0.544, 1.015) | time = 34.4
Epc= 710, Train ADE,FDE = (0.634, 1.205) | time = 34.3
Epc= 715, Train ADE,FDE = (0.579, 1.106) | time = 34.5
Epc= 720, Train ADE,FDE = (0.587, 1.098) | time = 34.7
Epc= 725, Train ADE,FDE = (0.578, 1.099) | time = 34.3
Epc= 730, Train ADE,FDE = (0.559, 1.060) | time = 34.3
Epc= 735, Train ADE,FDE = (0.588, 1.112) | time = 34.7
Epc= 740, Train ADE,FDE = (0.555, 1.040) | time = 34.9
Epc= 745, Train ADE,FDE = (0.581, 1.093) | time = 34.7
Epc= 750, Train ADE,FDE = (0.599, 1.164) | time = 34.5
Epc= 755, Train ADE,FDE = (0.601, 1.154) | time = 35.0
Epc= 760, Train ADE,FDE = (0.544, 1.033) | time = 34.6
Epc= 765, Train ADE,FDE = (0.531, 0.991) | time = 34.7
Epc= 770, Train ADE,FDE = (0.561, 1.078) | time = 34.4
Epc= 775, Train ADE,FDE = (0.560, 1.044) | time = 34.9
Epc= 780, Train ADE,FDE = (0.592, 1.111) | time = 34.4
Epc= 785, Train ADE,FDE = (0.555, 1.053) | time = 34.6
Epc= 790, Train ADE,FDE = (0.547, 1.021) | time = 34.5
Epc= 795, Train ADE,FDE = (0.539, 1.016) | time = 34.3
Epc= 800, Train ADE,FDE = (0.634, 1.245) | time = 34.3
Epc= 805, Train ADE,FDE = (0.552, 1.018) | time = 34.3
Epc= 810, Train ADE,FDE = (0.533, 0.982) | time = 34.3
Epc= 815, Train ADE,FDE = (0.509, 0.938) | time = 34.8
Epc= 820, Train ADE,FDE = (0.544, 1.013) | time = 35.0
Epc= 825, Train ADE,FDE = (0.631, 1.206) | time = 34.2
Epc= 830, Train ADE,FDE = (0.577, 1.089) | time = 34.3
Epc= 835, Train ADE,FDE = (0.544, 1.000) | time = 34.4
Epc= 840, Train ADE,FDE = (0.529, 0.983) | time = 34.4
Epc= 845, Train ADE,FDE = (0.598, 1.128) | time = 34.6
Epc= 850, Train ADE,FDE = (0.633, 1.171) | time = 34.6
Epc= 855, Train ADE,FDE = (0.552, 1.048) | time = 34.6
Epc= 860, Train ADE,FDE = (0.574, 1.081) | time = 35.0
Epc= 865, Train ADE,FDE = (0.527, 1.006) | time = 34.3
Epc= 870, Train ADE,FDE = (0.544, 1.011) | time = 34.7
Epc= 875, Train ADE,FDE = (0.540, 1.012) | time = 34.9
Epc= 880, Train ADE,FDE = (0.545, 1.032) | time = 34.6
Epc= 885, Train ADE,FDE = (0.572, 1.060) | time = 34.6
Epc= 890, Train ADE,FDE = (0.547, 1.021) | time = 34.7
Epc= 895, Train ADE,FDE = (0.639, 1.191) | time = 34.5
Epc= 900, Train ADE,FDE = (0.521, 0.982) | time = 34.5
Epc= 905, Train ADE,FDE = (0.546, 1.007) | time = 34.3
Epc= 910, Train ADE,FDE = (0.505, 0.945) | time = 34.9
Epc= 915, Train ADE,FDE = (0.509, 0.947) | time = 34.7
Epc= 920, Train ADE,FDE = (0.493, 0.923) | time = 34.8
Epc= 925, Train ADE,FDE = (0.582, 1.104) | time = 34.5
Epc= 930, Train ADE,FDE = (0.541, 1.024) | time = 34.5
Epc= 935, Train ADE,FDE = (0.530, 0.991) | time = 34.5
Epc= 940, Train ADE,FDE = (0.526, 0.977) | time = 34.4
Epc= 945, Train ADE,FDE = (0.530, 1.014) | time = 34.5
Epc= 950, Train ADE,FDE = (0.485, 0.903) | time = 34.9
Epc= 955, Train ADE,FDE = (0.530, 1.000) | time = 35.0
Epc= 960, Train ADE,FDE = (0.529, 0.995) | time = 34.4
Epc= 965, Train ADE,FDE = (0.525, 1.001) | time = 34.7
Epc= 970, Train ADE,FDE = (0.475, 0.876) | time = 34.6
Epc= 975, Train ADE,FDE = (0.531, 1.008) | time = 34.5
Epc= 980, Train ADE,FDE = (0.496, 0.921) | time = 34.9
Epc= 985, Train ADE,FDE = (0.485, 0.905) | time = 34.6
Epc= 990, Train ADE,FDE = (0.501, 0.926) | time = 34.9
Epc= 995, Train ADE,FDE = (0.496, 0.937) | time = 34.7
Epc=1000, Train ADE,FDE = (0.522, 0.998) | time = 35.0
